timestamp,std
1658361600000,9.10925142579386e-06
1658361610000,2.0272863906946894e-06
1658361620000,1.1969747440905682e-06
1658361630000,3.8923739173701495e-06
1658361640000,2.69443871705974e-06
1658361650000,7.828799413113152e-06
1658361660000,5.610201330997067e-06
1658361670000,3.338805032892413e-06
1658361680000,9.952126787092038e-06
1658361690000,3.816233269026463e-06
1658361700000,1.6417180315904501e-06
1658361710000,1.9853262875060234e-06
1658361720000,1.2071217242446423e-06
1658361730000,1.8688159669351937e-06
1658361740000,1.0113278849646742e-05
1658361750000,7.390839325060608e-06
1658361760000,7.37166625767236e-06
1658361770000,1.8086157734165914e-05
1658361780000,8.597480251022773e-06
1658361790000,5.316456139414034e-06
1658361800000,1.2801889581471708e-05
1658361810000,5.173145842568527e-06
1658361820000,5.9944734648857655e-06
1658361830000,1.5352204705786954e-05
1658361840000,6.2262356084736365e-06
1658361850000,5.395918278288605e-06
1658361860000,5.56400288271305e-06
1658361870000,8.50566839087614e-06
1658361880000,1.3560435568595969e-05
1658361890000,3.837098981221311e-06
1658361900000,1.0626225419560718e-06
1658361910000,1.1234132260417968e-05
1658361920000,4.806185098883778e-06
1658361930000,1.6903085094581372e-06
1658361940000,2.4460853078581493e-06
1658361950000,0.0
1658361960000,4.6291004988926244e-07
1658361970000,1.4196337243834147e-05
1658361980000,5.24914959098884e-06
1658361990000,6.8090470825158505e-06
1658362000000,7.143330729640184e-06
1658362010000,3.2923070504234192e-06
1658362020000,5.679308536651827e-06
1658362030000,1.7067600510847887e-05
1658362040000,3.4880749227345664e-06
1658362050000,1.0174257691267992e-05
1658362060000,1.0525667795418408e-05
1658362070000,1.0653609728171494e-05
1658362080000,7.764321657383922e-06
1658362090000,1.7215215257485728e-06
1658362100000,1.185293480502467e-05
1658362110000,3.797456696511393e-06
1658362120000,2.56420814262425e-06
1658362130000,1.7099150633306815e-06
1658362140000,0.0
1658362150000,5.122313465433182e-06
1658362160000,3.287454837314439e-06
1658362170000,3.30168122342152e-06
1658362180000,6.11930449034183e-07
1658362190000,4.2581531362401984e-07
1658362200000,5.054593261921029e-06
1658362210000,7.5879230739695325e-06
1658362220000,3.785507279016464e-06
1658362230000,4.258153136289702e-07
1658362240000,4.923659639106077e-07
1658362250000,2.152341923945624e-06
1658362260000,8.31509621324917e-06
1658362270000,4.577377082080065e-07
1658362280000,2.9682665076721784e-06
1658362290000,4.1589305472394605e-06
1658362300000,1.3259870882720408e-06
1658362310000,2.063284482839202e-06
1658362320000,4.862068066409294e-06
1658362330000,2.3008949665435377e-06
1658362340000,1.0751935761593547e-05
1658362350000,5.163977794908727e-07
1658362360000,1.1125681470230235e-05
1658362370000,2.7247463045639047e-06
1658362380000,1.449137674629128e-06
1658362390000,5.393558768611999e-06
1658362400000,6.345602151615793e-06
1658362410000,5.163977794879613e-07
1658362420000,2.581988897474925e-06
1658362430000,3.552776691863995e-06
1658362440000,5.94861033454977e-06
1658362450000,5.107539184598136e-07
1658362460000,1.0217165761139416e-05
1658362470000,4.045199174767731e-07
1658362480000,3.631365196009748e-07
1658362490000,5.991446895164917e-07
1658362500000,3.6556307750728628e-06
1658362510000,1.3951788645865711e-06
1658362520000,2.330057223898698e-06
1658362530000,1.2434443478361323e-06
1658362540000,4.3723731609821095e-07
1658362550000,1.7573375583928585e-06
1658362560000,5.492178180289289e-06
1658362570000,4.670993664971362e-07
1658362580000,3.4609479798967913e-06
1658362590000,4.851645240424281e-07
1658362600000,1.433720877844376e-06
1658362610000,1.3072715959086201e-05
1658362620000,4.082831819882506e-06
1658362630000,3.2034207906260056e-06
1658362640000,9.083670095789715e-06
1658362650000,1.6787846222160684e-05
1658362660000,1.7745788922811262e-05
1658362670000,6.692958906555475e-06
1658362680000,6.500259480466517e-06
1658362690000,1.170292219062363e-05
1658362700000,2.30331568785407e-06
1658362710000,4.901813723285479e-06
1658362720000,1.9071669994762575e-05
1658362730000,2.160246899469306e-06
1658362740000,6.5914677764199195e-06
1658362750000,2.86673713796138e-06
1658362760000,4.879500364750029e-06
1658362770000,5.518563713010012e-06
1658362780000,9.824895491994848e-06
1658362790000,4.0824829046534774e-07
1658362800000,4.803785453134755e-06
1658362810000,1.388730149661771e-06
1658362820000,6.999458853539196e-06
